timestamp,level,cmdb_id,failure_type,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20,Top21,Top22,Top23,Top24,Top25,Top26,Top27,Top28,Top29,Top30,Top31,Top32,Top33,Top34,Top35,Top36,Top37,Top38,Top39,Top40,Top41,Top42,Top43,Top44,Top45,Top46
1651858208,service,productcatalogservice,Kubernetes Container Network Resource Packet Corruption,productcatalogservice-1:0.5001017952976862,productcatalogservice-2:0.49901302257000474,frontend-1:0.470964612054338,productcatalogservice-0:0.47094119651624394,frontend-0:0.45121573083225114,frontend-2:0.4357937386901473,productcatalogservice2-0:0.4354305669068806,shippingservice2-0:0.39293790703633635,checkoutservice-2:0.3776068844434346,frontend2-0:0.37464916134952514,currencyservice2-0:0.36643822643217644,shippingservice-2:0.3532373052613725,checkoutservice-1:0.3500926113228405,checkoutservice-0:0.3461016974460807,paymentservice-1:0.32385298604836316,emailservice2-0:0.3204606821541214,paymentservice-0:0.3080931529964386,shippingservice-0:0.30391098428045366,paymentservice2-0:0.3035506453389376,recommendationservice2-0:0.3011888327148583,shippingservice-1:0.29408631495686516,emailservice-2:0.29316635478246716,paymentservice-2:0.2919494054103099,checkoutservice2-0:0.2806511506200024,recommendationservice-1:0.27651419201669675,emailservice-1:0.2703099711880059,emailservice-0:0.25401159064630685,recommendationservice-2:0.23676838611211895,cartservice-2:0.23292664281213446,recommendationservice-0:0.22530122465528915,currencyservice-1:0.21244204908162823,adservice-0:0.19173187719391385,adservice-2:0.18674966943329008,currencyservice-2:0.18301838800345724,adservice2-0:0.17812239664624704,currencyservice-0:0.17164131483975734,adservice-1:0.14761533032248517,cartservice2-0:0.13756694018686969,cartservice-1:0.13175088817642588,cartservice-0:0.10908223367416653,node-3:0.0848530105696698,node-6:0.07995857241095607,node-4:0.06979270138876066,node-5:0.051840571647676324,node-2:0.032344924108714396,node-1:0.025967654515682854
1651859583,pod,frontend-2,Kubernetes Container Write I/O Load,frontend2-0:0.4807098910343819,productcatalogservice2-0:0.4730722833514558,currencyservice2-0:0.4199306034500047,shippingservice2-0:0.3879815252915482,productcatalogservice-0:0.34963879219335214,frontend-0:0.3475090043071833,productcatalogservice-2:0.3339351635739094,cartservice2-0:0.33035146287540745,checkoutservice2-0:0.3296921696575325,adservice2-0:0.32964070419924446,shippingservice-1:0.3248793389476745,checkoutservice-1:0.32129502292625484,paymentservice-0:0.3203598147592385,cartservice-1:0.3174826032132322,frontend-2:0.3169086754310165,paymentservice2-0:0.31161383315700353,productcatalogservice-1:0.3092706447777575,adservice-0:0.3081277826980801,currencyservice-0:0.29491193039879166,checkoutservice-0:0.2939891282385143,checkoutservice-2:0.2844828624166042,shippingservice-0:0.27888782430784886,adservice-2:0.27849270338178167,emailservice2-0:0.2770544579045347,paymentservice-2:0.26895280282535244,cartservice-0:0.26383321120270525,frontend-1:0.24960590611367717,shippingservice-2:0.2481828373577376,node-3:0.24058366631823494,currencyservice-2:0.23873217975609085,currencyservice-1:0.23794812272294907,cartservice-2:0.22827968627642073,recommendationservice-2:0.2138139972584365,recommendationservice-1:0.21044428068480767,recommendationservice2-0:0.20699143714778834,node-5:0.20573748368892883,paymentservice-1:0.18622091031983282,node-4:0.18301411512789578,adservice-1:0.1822098433659348,recommendationservice-0:0.16659841728563143,node-6:0.16472935323756602,emailservice-0:0.1540750271794321,emailservice-2:0.11946083630884725,emailservice-1:0.1152022840390856,node-1:0.08862765542020155,node-2:0.03728258949402851
1651860249,node,node-2,Node Disk Space Consumption,node-2:0.49073655815805756,node-6:0.36247006873825366,node-5:0.2879220854203817,currencyservice2-0:0.2871066615215571,shippingservice2-0:0.2611485110765845,node-4:0.2468225351782276,emailservice2-0:0.24304939233416337,productcatalogservice2-0:0.2428808782914241,frontend2-0:0.24050559437138208,paymentservice2-0:0.22790288312677118,productcatalogservice-2:0.2242335953629843,adservice-2:0.22356346200827262,recommendationservice-0:0.22326885572225827,currencyservice-1:0.2126694565594983,productcatalogservice-0:0.21050741428641606,shippingservice-0:0.21022349736936308,cartservice2-0:0.20967244370651641,shippingservice-2:0.20886005836759436,recommendationservice-1:0.1998554725518162,currencyservice-2:0.1995689107646668,shippingservice-1:0.1989385205906422,currencyservice-0:0.19597575580284676,checkoutservice-1:0.19278729594788924,cartservice-2:0.1923229399520201,node-1:0.19003516744295954,checkoutservice-2:0.18993348218010966,adservice2-0:0.1898458841936067,paymentservice-2:0.18213493268860648,recommendationservice-2:0.16992880310506853,paymentservice-0:0.16350571483492524,adservice-1:0.1617503937839466,frontend-0:0.1613338170941916,cartservice-1:0.16110549043114852,recommendationservice2-0:0.16044612579000864,paymentservice-1:0.15951591590373124,productcatalogservice-1:0.15840445761998315,checkoutservice2-0:0.15813281366286333,node-3:0.1579744005397609,frontend-1:0.15388462072225456,frontend-2:0.13734525595176408,adservice-0:0.13549648451488444,emailservice-1:0.13151003139141046,checkoutservice-0:0.12898817375572977,emailservice-2:0.126268537209176,cartservice-0:0.11525405029021742,emailservice-0:0.06370620058997069
1651863211,service,emailservice,Kubernetes Container Network Packet Loss,emailservice-0:0.6892848457167791,emailservice-1:0.5241198720744659,emailservice-2:0.4683524050707167,shippingservice2-0:0.4415953009675138,currencyservice2-0:0.3595314820723625,productcatalogservice2-0:0.3398739797535711,emailservice2-0:0.33622400469419106,currencyservice-0:0.3311600919789533,productcatalogservice-0:0.3202908916647098,checkoutservice-1:0.3038199488130099,cartservice-1:0.28853983256055343,shippingservice-0:0.27788486383295347,currencyservice-1:0.27301902527594146,productcatalogservice-2:0.2676952164232907,cartservice-0:0.26708151195062907,cartservice-2:0.2583294210873177,checkoutservice-0:0.257539705413293,checkoutservice2-0:0.2544544614080699,adservice-0:0.2466982611737166,paymentservice-1:0.2447723993205222,shippingservice-1:0.24470822021749483,cartservice2-0:0.24422060396179654,paymentservice-0:0.23920216669813288,checkoutservice-2:0.23843794872031768,frontend-1:0.23177130819476463,productcatalogservice-1:0.23069971097533815,adservice2-0:0.2279931171169943,recommendationservice-1:0.22345278420675066,paymentservice2-0:0.22335634560265802,shippingservice-2:0.21423975465331058,adservice-1:0.21356739360834612,currencyservice-2:0.19950600177759958,frontend2-0:0.1959671386458146,paymentservice-2:0.18981755502699163,adservice-2:0.18753368940869242,recommendationservice-0:0.17708700033462657,recommendationservice-2:0.17129589438538195,frontend-0:0.1414280191577558,recommendationservice2-0:0.12456390072577124,frontend-2:0.08865602154826825,node-5:0.0002949443271895681,node-2:2.5255209178966996e-05,node-6:1.355972973192295e-05,node-1:1.0101324012695962e-05,node-3:7.351603588360697e-06,node-4:5.520586031155777e-06
1651863857,node,node-6,Node Disk Write I/O Consumption,node-6:0.6878050921775679,node-2:0.4461396211584074,node-1:0.42444453964614376,node-4:0.37470618589448584,node-3:0.3582302661755434,node-5:0.25468082017717647,checkoutservice-0:0.08231194238781048,checkoutservice-1:0.07302661581220474,frontend-0:0.07099481299806996,recommendationservice-2:0.06807904510355083,frontend-2:0.05805691674561344,emailservice2-0:0.04563587344034864,checkoutservice-2:0.044423536772667714,shippingservice-2:0.0388715689708181,paymentservice-1:0.03870021583351978,currencyservice-0:0.03687415385775607,currencyservice-2:0.03585127657678809,emailservice-2:0.03558326263094866,productcatalogservice-2:0.035564931513068436,paymentservice-0:0.0353318274859077,productcatalogservice-1:0.034319421721643754,recommendationservice-0:0.032679762665697575,shippingservice-1:0.02998117453630918,adservice2-0:0.029551437076047,emailservice-0:0.02944251213939188,currencyservice-1:0.029108109755415165,cartservice-0:0.028646059780427474,cartservice2-0:0.02855826135026565,cartservice-1:0.028180415715998202,frontend-1:0.027774349355544996,shippingservice-0:0.02708784247059151,adservice-2:0.02701985032003554,recommendationservice-1:0.02691599867494532,emailservice-1:0.026488214304168454,recommendationservice2-0:0.026349707169179285,checkoutservice2-0:0.026258378040976593,paymentservice2-0:0.02623575570812119,shippingservice2-0:0.024718436382672734,cartservice-2:0.02288168076260569,adservice-1:0.0227219344898995,paymentservice-2:0.021408045283861754,adservice-0:0.02008171225085637,productcatalogservice-0:0.017719000542098334,frontend2-0:0.016112720787550983,currencyservice2-0:0.015722474585393064,productcatalogservice2-0:0.014662043739059176
1651867434,node,node-5,Node Disk Space Consumption,node-5:0.5511185217629274,node-3:0.5266606281329524,node-2:0.4972411453973246,node-4:0.47562559458550474,node-6:0.475278821527126,node-1:0.3500182400938718,frontend-1:0.1190975216045233,frontend-2:0.11148713513930274,currencyservice-1:0.10473727729869015,productcatalogservice-2:0.10395129388956659,adservice-2:0.10385080963825022,shippingservice-1:0.10212799060201372,checkoutservice2-0:0.10177229748621908,cartservice-0:0.10121780945348353,productcatalogservice-1:0.09990182906468058,shippingservice-0:0.0988541427740648,adservice-1:0.09799709671886166,cartservice-1:0.09550979753126139,currencyservice-0:0.09414919427901376,adservice-0:0.0921497162544926,productcatalogservice-0:0.08770517311454129,checkoutservice-1:0.08649445624706091,emailservice-1:0.08571163333431091,shippingservice-2:0.08112266253030916,paymentservice2-0:0.0799373344293736,checkoutservice-2:0.07990317929222329,cartservice-2:0.07935707589680809,emailservice-0:0.0793466636443285,checkoutservice-0:0.07919593823242045,adservice2-0:0.07777748622667761,currencyservice-2:0.07411273937324626,recommendationservice2-0:0.07335203180713835,emailservice-2:0.07284164336628543,cartservice2-0:0.07169014286724258,shippingservice2-0:0.0707960758276603,recommendationservice-1:0.07008730784578647,recommendationservice-2:0.06890452866978562,recommendationservice-0:0.06288796416109255,paymentservice-2:0.06130611429421042,productcatalogservice2-0:0.05994818754650728,paymentservice-1:0.05653629204188001,emailservice2-0:0.05610619628672322,frontend2-0:0.052727392626739096,frontend-0:0.05231764610531478,currencyservice2-0:0.05052681077024384,paymentservice-0:0.046539389667709104
1651870394,pod,productcatalogservice-2,Kubernetes Container Network Latency,productcatalogservice-2:0.8510513751813051,frontend-1:0.6588836865822368,frontend-2:0.652999463863639,frontend-0:0.6257231565273836,emailservice-1:0.6007809679463666,recommendationservice-0:0.5967620512499229,recommendationservice-2:0.5948242713312647,recommendationservice-1:0.5828036901840247,checkoutservice-0:0.5498882230604053,checkoutservice-2:0.5471160022129834,adservice-2:0.5378348711130312,checkoutservice-1:0.5357759656308868,adservice-1:0.489360523687509,emailservice-2:0.4890106501036504,adservice-0:0.47983030402266547,productcatalogservice-1:0.44729771149559894,paymentservice-2:0.44653037844494453,productcatalogservice-0:0.44648544711814697,paymentservice-1:0.3938230289086388,shippingservice-1:0.38876692402085894,paymentservice-0:0.38391305954278837,currencyservice-0:0.3723462096661944,shippingservice-2:0.36524881117825897,currencyservice-2:0.3614146480643601,cartservice-1:0.34780518619625117,currencyservice-1:0.346986003897828,emailservice-0:0.3423481952115084,cartservice-2:0.341934025408588,shippingservice-0:0.33078837043914705,cartservice-0:0.2492243201123048,paymentservice2-0:0.15310483813871925,node-3:0.13679856330276075,adservice2-0:0.1302067078062742,cartservice2-0:0.12276157830751004,emailservice2-0:0.12255379710740466,checkoutservice2-0:0.12030161051149246,shippingservice2-0:0.11798021781096346,node-5:0.11749038803123364,frontend2-0:0.11670945490329954,recommendationservice2-0:0.10960953850874887,productcatalogservice2-0:0.10697719987528027,node-6:0.0976304281434241,node-2:0.08342280701728207,currencyservice2-0:0.06930100557331191,node-4:0.0653949558763013,node-1:0.03945936821242942
1651872135,node,node-5,Node Memory Consumption,node-5:0.4232841141854807,emailservice-0:0.3527091401351694,node-4:0.3263790905905731,frontend-2:0.31395323790010293,shippingservice-1:0.3114137794896817,productcatalogservice-1:0.3038515531982282,frontend-1:0.30384992650908393,productcatalogservice-0:0.278402410678155,adservice-0:0.2612594352555301,shippingservice-0:0.2525553707386112,recommendationservice-1:0.24828175286270185,currencyservice-1:0.24806086116665219,checkoutservice-0:0.24439514704471896,cartservice-1:0.23941489647215422,adservice-2:0.23933626305005082,productcatalogservice-2:0.23763048125016387,checkoutservice-2:0.22777444347284118,productcatalogservice2-0:0.22319050039069577,recommendationservice-0:0.22278640237242822,cartservice-0:0.21974665224836562,currencyservice-0:0.2162051510996832,shippingservice2-0:0.21021742276027344,emailservice-2:0.20539115656752294,emailservice-1:0.19778836450028034,checkoutservice2-0:0.19481003232248875,paymentservice2-0:0.19111275320491106,checkoutservice-1:0.1843190346119855,shippingservice-2:0.18428907638536743,cartservice-2:0.1798792449913177,adservice-1:0.17940036653179245,recommendationservice-2:0.1751122644209321,node-1:0.17433667677123452,currencyservice2-0:0.17029667356019085,currencyservice-2:0.16915591698567234,frontend-0:0.1660392335761092,cartservice2-0:0.1598735079139493,emailservice2-0:0.15456865902325925,paymentservice-1:0.15110188036627376,paymentservice-0:0.14919986581619793,frontend2-0:0.14829516180833743,adservice2-0:0.14498799293976714,recommendationservice2-0:0.14006737675362657,paymentservice-2:0.12305078227108557,node-3:0.11520544533514872,node-6:0.06410413185421802,node-2:0.062354681406417097
1651875390,node,node-1,Node Disk Space Consumption,node-1:0.6461575260107085,node-2:0.3462893705232184,node-6:0.30315052204699605,adservice-1:0.2778936364631973,node-5:0.2692936234110209,currencyservice-1:0.26907421005361604,recommendationservice-2:0.2635607186768875,cartservice-2:0.2583747635472888,paymentservice2-0:0.2529238048756353,productcatalogservice-0:0.2502032235542033,shippingservice2-0:0.24984639774997375,currencyservice-2:0.2477909019914201,emailservice2-0:0.23928981506954117,shippingservice-2:0.23850434615134955,cartservice2-0:0.23772003010725265,recommendationservice-0:0.23584092539178045,cartservice-1:0.23511511660070003,paymentservice-0:0.2348914804937939,adservice-2:0.22895162949281733,productcatalogservice-1:0.2281551027302544,shippingservice-1:0.21962588558638851,paymentservice-2:0.21830333188922965,currencyservice2-0:0.21776797104513612,emailservice-2:0.21729336032043736,cartservice-0:0.2152166931449481,node-4:0.21192584049728605,productcatalogservice2-0:0.20852017000886644,checkoutservice-1:0.20627987410302281,currencyservice-0:0.20597572601713574,recommendationservice-1:0.19704893509509105,node-3:0.1909066446640101,emailservice-0:0.1873889448461389,frontend2-0:0.1863454047291704,productcatalogservice-2:0.18606653310395074,frontend-0:0.18492734330875651,checkoutservice2-0:0.17461293225563526,frontend-2:0.1718806438131313,adservice2-0:0.16747748784959415,recommendationservice2-0:0.16298945932350228,shippingservice-0:0.16258514564195656,paymentservice-1:0.14863518229391487,checkoutservice-0:0.14451521353277882,checkoutservice-2:0.14380062152962927,frontend-1:0.13109674820728898,adservice-0:0.12619063543147957,emailservice-1:0.11113520321859532
1651876445,service,frontend,Kubernetes Container Read I/O Load,frontend-1:0.7931281068901276,frontend2-0:0.7839771658766338,frontend-2:0.7818198217323143,frontend-0:0.7803824081171009,currencyservice2-0:0.5774740898884229,cartservice-0:0.5474034475299393,productcatalogservice2-0:0.5436875741003717,currencyservice-1:0.5223181980728778,shippingservice2-0:0.5146077808259969,cartservice2-0:0.4908301671980802,cartservice-2:0.48940691295845623,recommendationservice2-0:0.4848397150781178,currencyservice-0:0.4741396145231292,recommendationservice-1:0.4519990713664215,paymentservice2-0:0.44813732137223167,emailservice-2:0.4238174097000155,checkoutservice-1:0.4082182644062377,recommendationservice-0:0.4065925566865076,currencyservice-2:0.4056342362174474,emailservice-1:0.40038978621642984,checkoutservice-0:0.3995634286345255,emailservice-0:0.397921853895208,productcatalogservice-0:0.39082230743608815,cartservice-1:0.37964242964308975,productcatalogservice-2:0.3514542429605843,checkoutservice-2:0.34713407376228256,recommendationservice-2:0.3039649798692374,paymentservice-2:0.29336371095347685,shippingservice-0:0.26185173747635715,adservice2-0:0.25112872334759967,paymentservice-1:0.22983287029388957,emailservice2-0:0.22304321316674733,shippingservice-1:0.21026819690309861,adservice-0:0.19494891429958475,checkoutservice2-0:0.18238432156298753,paymentservice-0:0.18019049179697724,adservice-1:0.17780911040847722,adservice-2:0.1509480923822034,productcatalogservice-1:0.14617485665709629,shippingservice-2:0.11373138389677155,node-5:2.0116915548011558e-05,node-2:3.361893792824334e-06,node-6:3.2591627960675024e-06,node-4:2.7206318433544852e-06,node-1:1.9743189720260167e-06,node-3:1.132583128991268e-06
